Time_Stamp_(ISO8601), PowerGenerationAC_(W), TodaysGeneration_(kWh), PowerGenerationDC_(W), TotalEnergy_(kWh), EnergyThisMonth_(kWh), EnergyLastMonth_(kWh), EnergyLastDay_(kWh), EnergyThisYear_(kWh), EnergyLastYear_(kWh)
2023-11-15T07:45:00z, 10500.00, 47.90, 11159.00, 79526.00, 944.00, 2188.00, 67.30, 23311.00, 26782.00
2023-11-15T07:46:00z, 10500.00, 48.00, 10582.00, 79526.00, 944.00, 2188.00, 67.30, 23311.00, 26782.00
2023-11-15T07:47:00z, 10500.00, 48.00, 10582.00, 79526.00, 944.00, 2188.00, 67.30, 23311.00, 26782.00
2023-11-15T07:48:00z, 10500.00, 48.00, 10582.00, 79526.00, 944.00, 2188.00, 67.30, 23311.00, 26782.00
2023-11-15T07:49:00z, 10500.00, 48.00, 10582.00, 79526.00, 944.00, 2188.00, 67.30, 23311.00, 26782.00
2023-11-15T07:50:00z, 10500.00, 48.00, 10582.00, 79526.00, 944.00, 2188.00, 67.30, 23311.00, 26782.00
2023-11-15T07:51:00z, 10500.00, 48.00, 10582.00, 79526.00, 944.00, 2188.00, 67.30, 23311.00, 26782.00
