Time_Stamp_(ISO8601), PowerGenerationAC_(W), TodaysGeneration_(kWh), PowerGenerationDC_(W), TotalEnergy_(kWh), EnergyThisMonth_(kWh), EnergyLastMonth_(kWh), EnergyLastDay_(kWh), EnergyThisYear_(kWh), EnergyLastYear_(kWh)
2023-11-10T12:00:00z, 310.00, 65.50, 527.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:01:00z, 280.00, 65.50, 568.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:02:00z, 260.00, 65.50, 509.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:03:00z, 220.00, 65.50, 508.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:04:00z, 80.00, 65.50, 399.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:05:00z, 80.00, 65.50, 351.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:06:00z, 50.00, 65.50, 301.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:07:00z, 60.00, 65.50, 279.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:08:00z, 50.00, 65.50, 288.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:09:00z, 50.00, 65.50, 295.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:10:00z, 20.00, 65.50, 294.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:11:00z, 20.00, 65.50, 302.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:12:00z, 30.00, 65.50, 219.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:13:00z, 20.00, 65.50, 277.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:14:00z, 20.00, 65.50, 226.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
