Time_Stamp_(ISO8601), PowerGenerationAC_(W), TodaysGeneration_(kWh), PowerGenerationDC_(W), TotalEnergy_(kWh), EnergyThisMonth_(kWh), EnergyLastMonth_(kWh), EnergyLastDay_(kWh), EnergyThisYear_(kWh), EnergyLastYear_(kWh)
2023-11-10T12:15:00z, 20.00, 65.50, 229.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:16:00z, 20.00, 65.50, 233.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:17:00z, 20.00, 65.50, 235.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:18:00z, 20.00, 65.50, 210.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:19:00z, 20.00, 65.50, 210.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:20:00z, 20.00, 65.50, 222.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:21:00z, 20.00, 65.50, 225.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:22:00z, 20.00, 65.50, 229.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:23:00z, 20.00, 65.50, 184.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:24:00z, 20.00, 65.50, 184.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:25:00z, 20.00, 65.50, 184.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:26:00z, 20.00, 65.50, 184.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:27:00z, 20.00, 65.50, 184.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:28:00z, 20.00, 65.50, 184.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:29:00z, 20.00, 65.50, 184.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
