Time_Stamp_(ISO8601), PowerGenerationAC_(W), TodaysGeneration_(kWh), PowerGenerationDC_(W), TotalEnergy_(KWh), EnergyThisMonth_(KWh), EnergyLastMonth_(KWh), EnergyLastDay_(KWh), EnergyThisYear_(KWh), EnergyLastYear_(KWh)
2023-11-17T17:41:00z, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2023-11-17T17:42:00z, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
