Time_Stamp_(ISO8601), PowerGenerationAC_(W), TodaysGeneration_(kWh), PowerGenerationDC_(W), TotalEnergy_(kWh), EnergyThisMonth_(kWh), EnergyLastMonth_(kWh), EnergyLastDay_(kWh), EnergyThisYear_(kWh), EnergyLastYear_(kWh)
2023-11-10T11:45:00z, 660.00, 65.40, 775.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:46:00z, 620.00, 65.40, 777.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:47:00z, 600.00, 65.40, 789.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:48:00z, 590.00, 65.40, 800.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:49:00z, 540.00, 65.40, 794.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:50:00z, 510.00, 65.40, 786.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:51:00z, 490.00, 65.50, 779.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:52:00z, 450.00, 65.50, 656.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:53:00z, 430.00, 65.50, 663.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:54:00z, 410.00, 65.50, 623.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:55:00z, 370.00, 65.50, 629.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:56:00z, 370.00, 65.50, 626.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:57:00z, 360.00, 65.50, 628.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:58:00z, 340.00, 65.50, 582.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:59:00z, 330.00, 65.50, 581.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
