Time_Stamp_(ISO8601), PowerGenerationAC_(W), TodaysGeneration_(kWh), PowerGenerationDC_(W), TotalEnergy_(kWh), EnergyThisMonth_(kWh), EnergyLastMonth_(kWh), EnergyLastDay_(kWh), EnergyThisYear_(kWh), EnergyLastYear_(kWh)
2023-11-15T08:08:00z, 9500.00, 51.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2023-11-15T08:09:00z, 9240.00, 52.00, 9525.00, 79530.00, 948.00, 2188.00, 67.30, 23315.00, 26782.00
2023-11-15T08:10:00z, 9950.00, 52.10, 9858.00, 79530.00, 948.00, 2188.00, 67.30, 23315.00, 26782.00
2023-11-15T08:11:00z, 10030.00, 52.40, 9890.00, 79531.00, 948.00, 2188.00, 67.30, 23315.00, 26782.00
2023-11-15T08:12:00z, 10020.00, 52.50, 9892.00, 79531.00, 949.00, 2188.00, 67.30, 23316.00, 26782.00
2023-11-15T08:13:00z, 9930.00, 52.60, 9937.00, 79531.00, 949.00, 2188.00, 67.30, 23316.00, 26782.00
2023-11-15T08:14:00z, 10210.00, 52.90, 10280.00, 79531.00, 949.00, 2188.00, 67.30, 23316.00, 26782.00
