Time_Stamp_(ISO8601), PowerGenerationAC_(W), TodaysGeneration_(kWh), PowerGenerationDC_(W), TotalEnergy_(kWh), EnergyThisMonth_(kWh), EnergyLastMonth_(kWh), EnergyLastDay_(kWh), EnergyThisYear_(kWh), EnergyLastYear_(kWh)
2023-11-15T08:45:00z, 8910.00, 57.70, 8731.00, 79536.00, 954.00, 2188.00, 67.30, 23321.00, 26782.00
2023-11-15T08:46:00z, 8250.00, 57.80, 8115.00, 79536.00, 954.00, 2188.00, 67.30, 23321.00, 26782.00
2023-11-15T08:47:00z, 8190.00, 58.10, 8235.00, 79536.00, 954.00, 2188.00, 67.30, 23321.00, 26782.00
2023-11-15T08:48:00z, 8760.00, 58.20, 8777.00, 79536.00, 954.00, 2188.00, 67.30, 23321.00, 26782.00
2023-11-15T08:49:00z, 8590.00, 58.30, 8587.00, 79537.00, 954.00, 2188.00, 67.30, 23321.00, 26782.00
2023-11-15T08:50:00z, 7950.00, 58.50, 7899.00, 79537.00, 954.00, 2188.00, 67.30, 23321.00, 26782.00
2023-11-15T08:51:00z, 7390.00, 58.60, 7113.00, 79537.00, 955.00, 2188.00, 67.30, 23322.00, 26782.00
2023-11-15T08:52:00z, 5940.00, 58.70, 6069.00, 79537.00, 955.00, 2188.00, 67.30, 23322.00, 26782.00
2023-11-15T08:53:00z, 7540.00, 58.80, 7432.00, 79537.00, 955.00, 2188.00, 67.30, 23322.00, 26782.00
2023-11-15T08:54:00z, 6980.00, 58.90, 7180.00, 79537.00, 955.00, 2188.00, 67.30, 23322.00, 26782.00
2023-11-15T08:55:00z, 7330.00, 59.00, 6655.00, 79537.00, 955.00, 2188.00, 67.30, 23322.00, 26782.00
2023-11-15T08:56:00z, 4540.00, 59.10, 5516.00, 79537.00, 955.00, 2188.00, 67.30, 23322.00, 26782.00
2023-11-15T08:57:00z, 7730.00, 59.20, 8349.00, 79537.00, 955.00, 2188.00, 67.30, 23322.00, 26782.00
2023-11-15T08:58:00z, 8320.00, 59.30, 8272.00, 79538.00, 955.00, 2188.00, 67.30, 23322.00, 26782.00
2023-11-15T08:59:00z, 8190.00, 59.50, 8121.00, 79538.00, 955.00, 2188.00, 67.30, 23323.00, 26782.00
