Time_Stamp_(ISO8601), PowerGenerationAC_(W), TodaysGeneration_(kWh), PowerGenerationDC_(W), TotalEnergy_(kWh), EnergyThisMonth_(kWh), EnergyLastMonth_(kWh), EnergyLastDay_(kWh), EnergyThisYear_(kWh), EnergyLastYear_(kWh)
2023-11-10T11:30:00z, 1240.00, 65.20, 1288.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:31:00z, 1130.00, 65.20, 1290.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:32:00z, 1080.00, 65.20, 1150.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:33:00z, 1060.00, 65.20, 1155.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:34:00z, 1000.00, 65.20, 1139.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:35:00z, 970.00, 65.30, 1100.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:36:00z, 940.00, 65.30, 1055.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:37:00z, 910.00, 65.30, 1057.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:38:00z, 880.00, 65.30, 971.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:39:00z, 860.00, 65.30, 968.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:40:00z, 820.00, 65.30, 964.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:41:00z, 800.00, 65.40, 944.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:42:00z, 770.00, 65.40, 910.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:43:00z, 720.00, 65.40, 865.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:44:00z, 690.00, 65.40, 872.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
