Time_Stamp_(ISO8601), PowerGenerationAC_(W), TodaysGeneration_(kWh), PowerGenerationDC_(W), TotalEnergy_(kWh), EnergyThisMonth_(kWh), EnergyLastMonth_(kWh), EnergyLastDay_(kWh), EnergyThisYear_(kWh), EnergyLastYear_(kWh)
2023-11-10T12:30:00z, 20.00, 65.50, 184.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:31:00z, 20.00, 65.50, 184.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:32:00z, 20.00, 65.50, 184.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:33:00z, 20.00, 65.50, 184.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:34:00z, 20.00, 65.50, 184.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:35:00z, 20.00, 65.50, 131.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:36:00z, 20.00, 65.50, 126.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:37:00z, 20.00, 65.50, 120.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:38:00z, 20.00, 65.50, 71.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:39:00z, 20.00, 65.50, 67.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:40:00z, 20.00, 65.50, 62.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:41:00z, 20.00, 65.50, 53.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:42:00z, 20.00, 65.50, 48.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:43:00z, 20.00, 65.50, 43.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T12:44:00z, 20.00, 65.50, 35.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
