Time_Stamp_(ISO8601), PowerGenerationAC_(W), TodaysGeneration_(kWh), PowerGenerationDC_(W), TotalEnergy_(kWh), EnergyThisMonth_(kWh), EnergyLastMonth_(kWh), EnergyLastDay_(kWh), EnergyThisYear_(kWh), EnergyLastYear_(kWh)
2023-11-15T08:30:00z, 9410.00, 55.50, 9429.00, 79534.00, 952.00, 2188.00, 67.30, 23318.00, 26782.00
2023-11-15T08:31:00z, 9430.00, 55.60, 9408.00, 79534.00, 952.00, 2188.00, 67.30, 23319.00, 26782.00
2023-11-15T08:32:00z, 9230.00, 55.80, 9004.00, 79534.00, 952.00, 2188.00, 67.30, 23319.00, 26782.00
2023-11-15T08:33:00z, 9020.00, 55.90, 8936.00, 79534.00, 952.00, 2188.00, 67.30, 23319.00, 26782.00
2023-11-15T08:34:00z, 8660.00, 56.10, 8520.00, 79534.00, 952.00, 2188.00, 67.30, 23319.00, 26782.00
2023-11-15T08:35:00z, 8140.00, 56.30, 8212.00, 79534.00, 952.00, 2188.00, 67.30, 23319.00, 26782.00
2023-11-15T08:36:00z, 8340.00, 56.40, 8517.00, 79535.00, 952.00, 2188.00, 67.30, 23319.00, 26782.00
2023-11-15T08:37:00z, 8750.00, 56.50, 8911.00, 79535.00, 953.00, 2188.00, 67.30, 23320.00, 26782.00
2023-11-15T08:38:00z, 9840.00, 56.70, 9807.00, 79535.00, 953.00, 2188.00, 67.30, 23320.00, 26782.00
2023-11-15T08:39:00z, 9690.00, 56.80, 9525.00, 79535.00, 953.00, 2188.00, 67.30, 23320.00, 26782.00
2023-11-15T08:40:00z, 9220.00, 56.90, 9118.00, 79535.00, 953.00, 2188.00, 67.30, 23320.00, 26782.00
2023-11-15T08:41:00z, 9370.00, 57.20, 9326.00, 79535.00, 953.00, 2188.00, 67.30, 23320.00, 26782.00
2023-11-15T08:42:00z, 9260.00, 57.30, 9204.00, 79536.00, 953.00, 2188.00, 67.30, 23320.00, 26782.00
2023-11-15T08:43:00z, 8950.00, 57.40, 8929.00, 79536.00, 953.00, 2188.00, 67.30, 23321.00, 26782.00
2023-11-15T08:44:00z, 8770.00, 57.60, 8834.00, 79536.00, 954.00, 2188.00, 67.30, 23321.00, 26782.00
