Time_Stamp_(ISO8601), PowerGenerationAC_(W), TodaysGeneration_(kWh), PowerGenerationDC_(W), TotalEnergy_(kWh), EnergyThisMonth_(kWh), EnergyLastMonth_(kWh), EnergyLastDay_(kWh), EnergyThisYear_(kWh), EnergyLastYear_(kWh)
2023-11-10T11:15:00z, 1920.00, 64.80, 2001.00, 79198.00, 615.00, 2188.00, 45.70, 22982.00, 26782.00
2023-11-10T11:16:00z, 1860.00, 64.80, 1992.00, 79198.00, 615.00, 2188.00, 45.70, 22982.00, 26782.00
2023-11-10T11:17:00z, 1800.00, 64.80, 1851.00, 79198.00, 615.00, 2188.00, 45.70, 22982.00, 26782.00
2023-11-10T11:18:00z, 1770.00, 64.90, 1848.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:19:00z, 1700.00, 64.90, 1844.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:20:00z, 1630.00, 64.90, 1702.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:21:00z, 1600.00, 65.00, 1688.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:22:00z, 1550.00, 65.00, 1682.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:23:00z, 1500.00, 65.00, 1592.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:24:00z, 1490.00, 65.00, 1602.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:25:00z, 1430.00, 65.10, 1536.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:26:00z, 1400.00, 65.10, 1474.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:27:00z, 1370.00, 65.10, 1444.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:28:00z, 1290.00, 65.10, 1384.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
2023-11-10T11:29:00z, 1250.00, 65.20, 1345.00, 79198.00, 616.00, 2188.00, 45.70, 22983.00, 26782.00
