Time_Stamp_(ISO8601), PowerGenerationAC_(W), TodaysGeneration_(kWh), PowerGenerationDC_(W), TotalEnergy_(kWh), EnergyThisMonth_(kWh), EnergyLastMonth_(kWh), EnergyLastDay_(kWh), EnergyThisYear_(kWh), EnergyLastYear_(kWh)
2023-11-15T08:20:00z, 10170.00, 53.90, 10245.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2023-11-15T08:21:00z, 10220.00, 54.00, 10090.00, 79532.00, 950.00, 2188.00, 67.30, 23317.00, 26782.00
2023-11-15T08:22:00z, 9920.00, 54.10, 9925.00, 79532.00, 950.00, 2188.00, 67.30, 23317.00, 26782.00
2023-11-15T08:23:00z, 9800.00, 54.40, 9731.00, 79533.00, 950.00, 2188.00, 67.30, 23317.00, 26782.00
2023-11-15T08:24:00z, 9460.00, 54.50, 9328.00, 79533.00, 951.00, 2188.00, 67.30, 23318.00, 26782.00
2023-11-15T08:25:00z, 9420.00, 54.60, 9666.00, 79533.00, 951.00, 2188.00, 67.30, 23318.00, 26782.00
2023-11-15T08:26:00z, 9630.00, 54.90, 9703.00, 79533.00, 951.00, 2188.00, 67.30, 23318.00, 26782.00
2023-11-15T08:27:00z, 10090.00, 55.00, 10103.00, 79533.00, 951.00, 2188.00, 67.30, 23318.00, 26782.00
2023-11-15T08:28:00z, 9990.00, 55.10, 9996.00, 79533.00, 951.00, 2188.00, 67.30, 23318.00, 26782.00
2023-11-15T08:29:00z, 9750.00, 55.40, 9468.00, 79534.00, 951.00, 2188.00, 67.30, 23318.00, 26782.00
