Time_Stamp_(ISO8601), Power_Generation_(W), Todays_Generation_(KWh)
2023-11-06T20:19:00+05:30, 65536.00, 50.50
2023-11-06T20:20:00+05:30, 65536.00, 50.50
2023-11-06T20:21:00+05:30, 65536.00, 50.50
2023-11-06T20:22:00+05:30, 65536.00, 50.50
