Time_Stamp_(ISO8601), PowerGenerationAC_(W), TodaysGeneration_(kWh), PowerGenerationDC_(W), TotalEnergy_(kWh), EnergyThisMonth_(kWh), EnergyLastMonth_(kWh), EnergyLastDay_(kWh), EnergyThisYear_(kWh), EnergyLastYear_(kWh)
2023-11-17T09:24:00z, 3700.00, 61.60, 3730.00, 79676.00, 1094.00, 2188.00, 66.30, 23461.00, 26782.00
2023-11-17T09:25:00z, 6050.00, 61.70, 6188.00, 79676.00, 1094.00, 2188.00, 66.30, 23461.00, 26782.00
2023-11-17T09:26:00z, 6250.00, 61.80, 6364.00, 79676.00, 1094.00, 2188.00, 66.30, 23461.00, 26782.00
2023-11-17T09:27:00z, 6530.00, 61.90, 6606.00, 79676.00, 1094.00, 2188.00, 66.30, 23461.00, 26782.00
2023-11-17T09:28:00z, 6310.00, 62.00, 6313.00, 79676.00, 1094.00, 2188.00, 66.30, 23461.00, 26782.00
2023-11-17T09:29:00z, 6010.00, 62.10, 5975.00, 79677.00, 1094.00, 2188.00, 66.30, 23461.00, 26782.00
